tvec_x_error;tvec_y_error;tvec_z_error;rvec_x_error;rvec_y_error;rvec_z_error
-23.2267;-8.20887;77.3094;0.0959748;0.133145;-3.1353
-23.0031;-8.21504;76.9107;0.170737;0.143902;-3.1384
-22.9302;-8.17015;77.7707;0.144522;0.126138;-3.13957
-22.9519;-7.99635;78.6002;0.135351;0.132316;-3.13709
-22.9176;-7.9347;79.477;0.115861;0.124731;-3.13641
-22.936;-8.08244;81.1616;0.106252;-0.013455;-3.14377
-22.812;-8.13497;81.6874;0.108533;0.0686497;-3.13786
-22.7039;-8.30194;81.832;0.156205;0.11331;-3.13568
-22.5409;-8.44826;83.1362;0.145226;0.118283;-3.13797
-22.2851;-8.62065;83.9206;0.14632;0.115583;-3.13688
-22.2054;-8.69046;85.3286;0.149136;0.0766143;-3.13683
-22.0275;-8.89872;87.1823;0.163418;0.0455783;-3.13968
-21.7551;-9.00416;87.6898;0.169181;0.199335;-3.1319
-21.6638;-9.04111;89.0688;0.170096;0.272165;-3.12448
-21.5373;-9.55828;92.5262;0.198961;-0.0148399;-3.14058
-21.2598;-9.82535;94.0072;0.192116;0.0621688;-3.13762
-21.0268;-10.0939;95.966;0.14696;0.104865;-3.13697
-20.7692;-10.4076;98.3123;0.150248;0.0580811;-3.13712
-20.3043;-10.7605;100.056;0.230869;0.0310058;-3.13677
-19.9398;-10.8775;101.454;0.167266;0.119278;-3.13348
-19.4812;-11.1081;103.916;0.127186;0.124789;-3.14139
-18.9128;-11.1565;106.112;0.146937;0.108937;-3.12759
-18.5523;-11.2937;108.743;0.187122;-0.0174162;-3.14017
-18.0243;-11.3731;112.121;0.0229982;-0.0782499;-3.14637
-17.5814;-11.2976;113.537;0.113248;-0.0159631;-3.14612
-17.2649;-11.3337;115.39;0.159374;0.00474187;-3.13805
-16.8521;-11.3159;117.102;0.186719;-0.0382406;-3.13925
-16.6399;-11.2921;119.253;0.172088;0.00840848;-3.13663
-16.426;-11.1338;122.907;0.0590709;-0.051234;-3.1398
-16.3273;-10.8781;125.217;0.0784713;-0.124769;-3.14109
-16.2732;-10.569;126.077;0.161629;-0.0454014;-3.13522
-16.1972;-10.1917;128.579;0.149911;-0.114879;-3.13832
-16.1665;-9.8718;131.245;0.104304;-0.207077;-3.13848
-16.0409;-9.47436;132.029;0.212217;-0.118725;-3.13382
-15.9389;-9.05172;133.107;0.223974;0.00406882;-3.13416
