tvec_x;tvec_y;tvec_z;rvec_x;rvec_y;rvec_z
-11.6158;-4.1018;38.7982;0.0050074;0.171724;0.0185259
-11.438;-4.14554;38.1688;-0.0708241;0.182333;0.0176825
-11.4122;-4.1353;38.6433;-0.0567758;0.164104;0.018012
-11.4476;-4.00657;39.146;-0.0451195;0.166672;0.0226807
-11.4321;-3.94466;39.6589;-0.0256103;0.156959;0.0246652
-11.4794;-4.04354;40.8839;-0.0165793;0.0142755;0.0188829
-11.4218;-4.03365;41.114;-0.0105498;0.101683;0.0258531
-11.3573;-4.15648;40.904;-0.053049;0.146862;0.0305945
-11.2499;-4.22534;41.6133;-0.0360897;0.141806;0.0282526
-11.1138;-4.34185;41.9585;-0.0406381;0.154355;0.0268634
-11.1084;-4.34442;42.6703;-0.0509535;0.115557;0.0262959
-11.0225;-4.48762;43.8025;-0.056534;0.0893388;0.0232883
-10.8157;-4.48252;43.2577;-0.0923483;0.239415;0.0305011
-10.8027;-4.43216;43.981;-0.0717303;0.324723;0.0411186
-10.7514;-4.80646;46.3824;-0.0986017;0.0324301;0.0260556
-10.6052;-4.93952;47.0724;-0.0943147;0.124124;0.0324106
-10.5019;-5.06776;48.126;-0.0332656;0.165743;0.0369162
-10.4459;-5.19437;49.5636;-0.0330668;0.131895;0.0387517
-10.1564;-5.42231;50.3474;-0.123396;0.10991;0.0414742
-9.95942;-5.42475;50.7257;-0.0612957;0.198233;0.0472176
-9.75931;-5.56749;51.9719;-0.0396399;0.199896;0.0419843
-9.49657;-5.56625;53.1428;-0.0644021;0.200622;0.0555383
-9.30926;-5.7044;54.4778;-0.110889;0.0600252;0.046148
-9.01739;-5.76195;56.7235;0.0376907;0.00597631;0.0394918
-8.78039;-5.6701;57.0497;-0.0510978;0.0707446;0.0379159
-8.65117;-5.6877;57.7861;-0.0959978;0.0922374;0.0451865
-8.42943;-5.66545;58.5078;-0.125342;0.0598073;0.042854
-8.3233;-5.65648;59.5994;-0.113218;0.108829;0.0448811
-8.21597;-5.55885;62.151;-0.0102778;0.053764;0.0424849
-8.14839;-5.43655;63.2371;-0.0332;-0.0224236;0.043251
-8.12142;-5.28432;63.0623;-0.130282;0.062875;0.0505949
-8.11633;-5.09656;64.6151;-0.132981;0.0171414;0.0469334
-8.08184;-4.9591;66.1284;-0.104472;-0.0742067;0.0467707
-7.99843;-4.74357;65.9698;-0.210977;0.0241351;0.0453397
-7.90118;-4.56549;65.9999;-0.23254;0.149867;0.0418059
-7.92629;-4.24941;67.5608;-0.305428;0.0148633;0.0421481
-7.87701;-3.98183;70.9813;-0.0696576;0.0401673;0.0220832
-7.91492;-3.76043;71.4573;-0.181337;0.0412829;0.0161425
-7.89243;-3.65656;73.4079;-0.107802;-0.0808752;0.00686963
-7.62427;-3.62111;72.7038;0.320949;0.100636;6.25535
-7.38691;-3.47456;73.669;0.289321;-0.00391539;6.25595
-7.35987;-3.44199;74.7688;0.299047;0.0349937;6.25857
-7.01697;-3.46924;73.4361;0.475595;-0.0209386;6.23145
-6.89214;-3.40545;75.1363;0.424219;0.00741701;6.24124
-6.68911;-3.5982;77.6525;0.27753;0.048631;6.24419
-6.53992;-3.51076;77.2899;0.377255;0.224595;6.24538
-6.53369;-3.54268;76.4331;0.412376;0.0114839;6.23141
-6.22228;-3.52768;77.4081;0.410506;-0.015862;6.22975
-6.22853;-3.54785;79.6761;0.28913;0.0682475;6.23782
-6.00206;-3.55422;77.2269;0.438462;-0.0598446;6.22076
-5.8904;-3.59581;79.3339;0.279562;-0.204262;6.23632
-5.8493;-3.8471;77.8657;0.423799;0.080428;6.22024
-5.8638;-3.83809;80.0078;0.282841;0.0015231;6.24502
-5.74406;-3.88811;78.6981;0.383378;0.0990828;6.23864
-5.77983;-3.98324;80.5638;0.244658;0.0907902;6.25416
-5.92855;-4.24655;80.2724;0.159197;-0.14767;6.24959
-6.05509;-4.14075;80.3674;0.22021;0.18955;6.26072
-6.14614;-4.35552;81.3394;0.185644;0.153791;6.26869
-6.50102;-4.6101;80.1546;-0.21529;-0.0653946;0.00816807
-6.8199;-4.82622;79.9325;-0.220884;-0.0291248;0.0133304
-7.28579;-5.02008;79.3346;-0.260868;-0.0211047;0.0179481
-7.69056;-5.35397;78.2788;-0.311622;-0.0132637;0.0273545
-8.45941;-5.38527;80.8074;-0.185335;-0.0848215;0.0306474
-8.79943;-5.55992;80.5658;-0.213534;-0.138771;0.0282499
-9.34403;-5.83256;80.9428;-0.168361;-0.134382;0.0180486
-9.83858;-5.81068;78.7712;-0.361699;-0.0113888;0.0348485
-10.5695;-5.9215;79.291;-0.351267;-0.0489932;0.0315475
-11.1232;-5.98856;80.031;-0.26775;-0.0159839;0.0199675
-11.7759;-6.18044;80.6295;-0.172665;-0.00226657;0.010169
-11.9806;-6.23284;77.6058;0.46231;-0.018405;6.24703
-13.0472;-6.70228;79.7371;-0.222234;0.0551531;0.0122112
-13.3882;-6.79237;78.498;-0.409009;-0.0842617;0.0297706
-14.0263;-7.03693;76.9105;-0.492362;-0.0510451;0.051687
-14.8936;-7.29248;77.7796;-0.426992;0.0758247;0.0486198
-15.6553;-7.49612;76.8305;-0.485311;-0.037811;0.0755507
-16.681;-7.86572;77.4874;-0.396619;0.147461;0.0671238
-17.3447;-8.21273;76.9121;-0.467121;-0.0664643;0.0801908
-18.2586;-8.7007;76.8996;-0.407648;0.167758;0.0709848
-18.8363;-8.97013;75.4352;-0.554246;-0.0156909;0.112969
-19.9653;-9.58638;76.1528;-0.429142;0.0344041;0.104016
-20.2094;-9.8287;74.9547;-0.522172;-0.0374704;0.106292
-22.0355;-10.1405;78.0719;-0.18997;-0.177235;0.0986713
-21.9136;-10.3627;75.6776;-0.475239;-0.0389371;0.101966
-22.8652;-10.3564;76.4342;-0.440579;-0.121785;0.101166
-23.7903;-10.2932;75.3446;-0.426623;0.0910349;0.0958147
-25.1826;-10.2189;77.7752;-0.307447;-0.149026;0.0916043
-25.9214;-10.2607;76.5368;-0.368268;-0.00116634;0.0838091
-26.2283;-9.98872;74.3335;-0.516537;-0.230304;0.130547
-27.805;-10.3328;76.2493;-0.416925;-0.0587362;0.0771285
-28.8631;-10.4642;76.8167;-0.346084;0.00777841;0.0551756
-30.0555;-10.8859;78.6955;-0.204845;-0.160233;0.047093
-30.5961;-10.9808;76.5562;-0.379067;0.171136;0.0393677
-31.423;-11.2638;76.7524;-0.414658;-0.00499518;0.0551712
-31.9496;-11.5107;75.7342;-0.515355;0.0184648;0.0639749
-33.0607;-11.781;76.5037;-0.446835;-0.226041;0.0814049
-34.1111;-12.0703;76.7718;-0.412855;-0.0781174;0.0557319
-35.2328;-12.2663;77.0218;-0.448101;-0.0167254;0.0598411
-35.5025;-12.2801;75.4405;0.310489;-0.28924;6.24861
-36.6451;-12.5744;76.4695;-0.477395;-0.302155;0.119294
-37.3849;-12.9046;75.9502;-0.473392;-0.0833986;0.0997354
-38.2046;-13.3108;76.1061;-0.435548;-0.00737676;0.0796323
-38.2397;-13.5234;74.9828;-0.53571;0.30035;0.0743774
-39.0869;-13.9323;75.9259;-0.526599;-0.00461043;0.101668
-39.4362;-14.3123;76.7598;-0.399737;-0.0853356;0.0806261
-38.8329;-14.2155;75.0644;-0.32838;0.291862;0.045648
-38.8329;-14.4442;74.656;-0.474093;0.318368;0.0895191
-38.9713;-14.8126;76.2854;-0.30504;0.247185;0.0471965
-38.4265;-14.8219;76.0254;-0.505909;0.186135;0.0858801
-38.2831;-15.0481;76.6762;-0.492835;-0.113431;0.136611
-38.2408;-14.9557;77.0962;-0.346875;-0.16916;0.13015
-37.6247;-15.0814;76.8239;-0.527121;0.0521563;0.13356
-37.11;-14.9908;76.6875;-0.631078;-0.252702;0.209556
-37.3768;-15.1928;77.5164;-0.517835;0.0336592;0.148519
-37.2191;-15.2143;77.4344;-0.585038;0.0584108;0.170379
-36.8049;-15.1523;77.1109;-0.548835;0.29723;0.148139
-36.6362;-15.304;77.9836;-0.423057;-0.24117;0.175552
-36.3873;-15.3194;77.4238;-0.358441;-0.2027;0.151029
-36.6503;-15.5074;78.1434;-0.463689;0.0525186;0.136325
-35.7273;-15.5864;77.2515;-0.572411;-0.163128;0.176552
-36.1488;-15.6444;77.6882;-0.519848;0.00754486;0.151465
-35.6696;-15.6012;76.5521;-0.629656;0.0476871;0.167682
-36.0553;-16.0633;77.9876;-0.437392;-0.0793033;0.136066
-36.0026;-15.9426;77.5911;-0.501716;0.205531;0.141498
