tvec_x;tvec_y;tvec_z;rvec_x;rvec_y;rvec_z
-0.116108;-0.0410707;0.385111;0.100982;-0.0385797;-0.0138236
-0.115651;-0.040695;0.387419;0.0999127;-0.0384319;-0.0160816
-0.115179;-0.0403485;0.391274;0.0877463;-0.037966;-0.0175821
-0.115042;-0.0398978;0.394542;0.0902319;-0.0343559;-0.0197746
-0.114855;-0.0399004;0.398182;0.0902508;-0.0322281;-0.0210752
-0.114566;-0.040389;0.402777;0.0896732;-0.0277304;-0.0226545
-0.113902;-0.0410132;0.405735;0.097983;-0.0330332;-0.0237157
-0.113466;-0.0414546;0.40928;0.103156;-0.0335528;-0.0262748
-0.112909;-0.0422292;0.415229;0.109136;-0.0235225;-0.0262257
-0.111713;-0.042788;0.419621;0.105682;-0.038772;-0.0237452
-0.11097;-0.0434604;0.426583;0.0981821;-0.0389424;-0.0231218
-0.11005;-0.044111;0.433798;0.106884;-0.0437605;-0.0229703
-0.109394;-0.0452164;0.444321;0.0768325;-0.0400799;-0.0223989
-0.108611;-0.0460895;0.450878;0.098366;-0.0525579;-0.0256029
-0.107859;-0.0475182;0.461437;0.100359;-0.04727;-0.0266328
-0.106546;-0.0488584;0.469348;0.0978016;-0.061955;-0.0300328
-0.105249;-0.0502617;0.4784;0.113694;-0.0608772;-0.0338897
-0.103233;-0.0521321;0.487487;0.117182;-0.0738135;-0.0358746
-0.101479;-0.0533815;0.497086;0.107473;-0.0789037;-0.0382409
-0.099804;-0.054527;0.507288;0.10597;-0.0789546;-0.0406991
-0.0972193;-0.0554056;0.519439;0.0875464;-0.0751066;-0.04337
-0.0941626;-0.0559024;0.529691;0.0825353;-0.0916849;-0.0431286
-0.0924303;-0.0558926;0.542654;0.0762334;-0.0774414;-0.0463195
