tvec_x_error;tvec_y_error;tvec_z_error;rvec_x_error;rvec_y_error;rvec_z_error
-0.231662;-0.0850596;0.761749;-0.0775149;-0.00554306;-3.14591
-0.230576;-0.0842689;0.770242;-0.100288;-0.0645381;-3.14941
-0.231007;-0.083694;0.770034;0.0479753;0.0423782;-3.13935
-0.229901;-0.0826157;0.77974;-0.0672094;-0.0512833;-3.14696
-0.228842;-0.083033;0.790571;-0.10247;-0.0125673;-3.14723
-0.228899;-0.0833496;0.803363;-0.123441;-0.0887733;-3.14359
-0.227157;-0.0848669;0.807189;-0.11897;0.0135995;-3.14512
-0.227092;-0.0859995;0.807142;-0.0225348;0.0482447;-3.13935
-0.224713;-0.0862558;0.837024;-0.180604;-0.023289;-3.1372
-0.224129;-0.088368;0.830331;-0.0250613;0.0576421;-3.14001
-0.222648;-0.0897384;0.845053;-0.0787157;-0.0101187;-3.14179
-0.219648;-0.0899657;0.871545;-0.149218;-0.0572444;-3.14509
-0.218468;-0.0928702;0.885221;-0.0901027;-0.0442916;-3.14663
-0.217428;-0.0950714;0.892034;0.00434711;-0.015767;-3.1493
-0.216633;-0.0959543;0.918403;0.00540946;-0.0780067;-3.1381
-0.213279;-0.100531;0.932295;-0.0473053;0.00845293;-3.14689
-0.210742;-0.102129;0.937235;0.09855;0.055198;-3.13871
-0.206907;-0.105483;0.97989;-0.0561946;-0.0491295;-3.14701
-0.203858;-0.109363;0.993546;-0.038957;0.011516;-3.1505
-0.200245;-0.110946;1.00626;0.101603;-0.00731928;-3.14387
-0.195737;-0.112517;1.04255;-0.050486;-0.0763512;-3.15231
-0.189612;-0.113002;1.0677;-0.0837564;-0.0912951;-3.14821
-0.186424;-0.112945;1.08771;-0.0199678;-0.0490369;-3.14292
-0.180935;-0.115394;1.10921;-0.0302467;-0.0179583;-3.14663
-0.175967;-0.113231;1.14598;-0.135414;-0.0890385;-3.1428
-0.173493;-0.114025;1.16463;-0.053903;-0.0557378;-3.1445
