tvec_x;tvec_y;tvec_z;rvec_x;rvec_y;rvec_z
0.116089;0.041263;-0.392647;-0.0365131;-0.0303574;3.12784
0.115404;0.0408546;-0.398757;-0.0138561;0.0302734;3.12918
0.116329;0.0404604;-0.394738;-0.171902;-0.0769014;3.11757
0.115316;0.0399521;-0.401527;-0.0513966;0.020216;3.12352
0.114427;0.0404205;-0.408939;-0.0139323;-0.0167016;3.12276
0.114727;0.0402889;-0.41739;0.00903161;0.0632934;3.11811
0.113641;0.0413986;-0.41819;0.014019;-0.0415078;3.11797
0.114019;0.0421429;-0.414508;-0.0786951;-0.0765108;3.1095
0.112068;0.041733;-0.438726;0.0864613;0.00390388;3.1087
0.112683;0.0433026;-0.426859;-0.071106;-0.0853589;3.11227
0.111929;0.0440069;-0.434785;-0.0195845;-0.0169329;3.1147
0.109843;0.0438011;-0.453986;0.0607596;0.0279116;3.11759
0.109307;0.0452179;-0.457211;-0.0195797;0.017828;3.12021
0.108948;0.0470366;-0.457004;-0.0916023;-0.0145683;3.11863
0.108915;0.0466044;-0.47332;-0.0873439;0.0506837;3.10687
0.106824;0.0499213;-0.478394;-0.0334614;-0.0420029;3.11096
0.105481;0.0504035;-0.474262;-0.163827;-0.0853002;3.09914
0.103594;0.0519183;-0.506555;-0.00683753;0.0136665;3.10421
0.102153;0.0543874;-0.509497;-0.0314238;-0.0452059;3.1053
0.100139;0.0549729;-0.512059;-0.16723;-0.0233793;3.09646
0.0979739;0.0554848;-0.535513;-0.0249155;0.0565042;3.10351
0.0949865;0.0553943;-0.548822;0.00236919;0.0606999;3.09772
0.0932675;0.0556461;-0.557171;-0.0517705;0.0355416;3.09145
0.0901107;0.0572744;-0.564763;-0.0647185;0.00377187;3.09533
0.0872827;0.0551226;-0.590876;0.0454819;0.0716503;3.09268
0.0865736;0.0558745;-0.598115;-0.0306115;0.0417754;3.09537
