tvec_x;tvec_y;tvec_z;rvec_x;rvec_y;rvec_z
-0.115573;-0.0437966;0.369103;-0.114028;-0.0359005;-0.018071
-0.115172;-0.0434143;0.371485;-0.114144;-0.0342647;-0.020235
-0.114678;-0.0432336;0.375296;-0.123927;-0.0345232;-0.0217805
-0.114585;-0.0426636;0.378214;-0.118606;-0.0310672;-0.0234459
-0.114415;-0.0426125;0.381632;-0.116402;-0.0292689;-0.0244702
-0.114172;-0.0430607;0.385973;-0.11441;-0.0254799;-0.0254745
-0.113515;-0.0434683;0.388999;-0.104951;-0.0279082;-0.027149
-0.113074;-0.0438566;0.392633;-0.10123;-0.0282661;-0.0298531
-0.112645;-0.0445229;0.398298;-0.0941431;-0.0193851;-0.0284954
-0.111446;-0.0450654;0.403472;-0.0961672;-0.0277168;-0.0277447
-0.110719;-0.0457315;0.410268;-0.0983002;-0.0270517;-0.027095
-0.109805;-0.0461645;0.417559;-0.088458;-0.0293328;-0.027503
-0.109161;-0.0476523;0.42801;-0.109682;-0.0264636;-0.0264147
-0.10848;-0.0480348;0.43503;-0.0872552;-0.0303353;-0.0306717
-0.107718;-0.0493499;0.445083;-0.0819344;-0.027323;-0.0312332
-0.106455;-0.05061;0.453901;-0.0807667;-0.03355;-0.0359311
-0.105261;-0.0517254;0.462973;-0.0652769;-0.0301022;-0.0395689
-0.103313;-0.0535651;0.473335;-0.0630321;-0.035463;-0.0427951
-0.101705;-0.0549755;0.48405;-0.0703808;-0.0336899;-0.0452
-0.100107;-0.0559733;0.4942;-0.0656275;-0.0306986;-0.047405
-0.0977628;-0.0570318;0.507036;-0.0754015;-0.0198471;-0.0488009
-0.0946258;-0.0576074;0.518879;-0.0813872;-0.0305952;-0.0504887
-0.0931562;-0.0572984;0.530536;-0.0717383;-0.0134953;-0.0514692
-0.0908246;-0.0581198;0.544449;-0.0949652;-0.0141864;-0.0512984
-0.0886846;-0.0581083;0.555101;-0.0899324;-0.0173882;-0.0501264
-0.0869196;-0.0581506;0.566517;-0.0845145;-0.0139624;-0.0491264
